"CodeCanton";"Inscrits";"Votants";"Exprimés";"PC";"EXG";"SOC";"RDG";"DVG";"UDF";"RPR";"DVD";"FN";"ECO";"CodeDpt"
"0102";8207;5569;5450;496;0;0;0;924;0;0;4030;0;0;"01"
"0103";9109;5730;5625;1549;0;990;0;0;0;2324;0;762;0;"01"
"0104";9175;6660;6535;344;0;2096;0;0;3471;0;0;624;0;"01"
"0110";9532;6293;6154;180;0;2966;0;67;801;721;408;1011;0;"01"
"0111";4395;2947;2862;122;0;0;0;888;1852;0;0;0;0;"01"
"0113";9014;5053;4956;168;0;1011;0;0;2480;826;0;0;471;"01"
"0115";4604;3132;3046;307;0;484;0;0;0;1615;640;0;0;"01"
"0118";3443;2393;2338;127;0;0;1007;0;0;0;1204;0;0;"01"
"0120";8006;5361;5237;368;0;0;1222;0;1690;541;610;806;0;"01"
"0122";6110;3999;3925;204;0;637;0;0;1038;1247;409;390;0;"01"
"0124";4187;2792;2720;113;0;830;0;0;1500;0;0;277;0;"01"
"0125";6518;4334;4214;471;0;0;0;1203;0;2540;0;0;0;"01"
"0127";6358;4101;3953;258;0;605;0;0;0;1720;1370;0;0;"01"
"0129";4501;3019;2961;219;0;615;0;0;2127;0;0;0;0;"01"
"0131";3612;2247;2194;160;0;848;0;350;599;0;237;0;0;"01"
"0132";6892;4295;4149;168;0;695;0;0;0;0;2722;564;0;"01"
"0134";7671;4768;4646;224;0;1362;0;0;1144;1217;0;699;0;"01"
"0135";4330;3098;3048;146;0;0;0;1099;0;1321;0;261;221;"01"
"0136";2760;1969;1920;881;0;227;0;0;400;412;0;0;0;"01"
"0139";6394;3821;3738;212;63;1096;0;0;0;0;2014;353;0;"01"
"0140";9439;5890;5776;384;0;1308;0;0;0;0;3010;821;253;"01"
"0143";8074;4902;4796;163;0;832;0;1574;569;1365;0;293;0;"01"
"0201";6790;5034;4888;1331;0;701;0;0;0;0;2540;316;0;"02"
"0203";11147;8901;8547;3639;0;883;0;0;3440;0;0;585;0;"02"
"0204";6970;5092;4934;496;0;748;0;0;3274;0;0;416;0;"02"
"0205";6565;5033;4723;343;0;705;0;0;0;3292;0;383;0;"02"
"0208";17451;11328;11024;2149;0;1405;0;2327;3020;1249;0;874;0;"02"
"0209";16741;10838;10344;1947;543;1635;0;0;5151;0;0;1068;0;"02"
"0212";3822;3023;2949;375;0;1152;0;0;0;990;0;432;0;"02"
"0215";5931;4493;4330;1451;0;806;0;0;0;0;1625;448;0;"02"
"0218";9782;6613;6376;1075;0;1845;0;0;1400;1616;0;440;0;"02"
"0219";5643;4574;4470;432;0;1447;0;0;0;0;2402;189;0;"02"
"0221";5699;4199;4115;314;105;1491;0;0;0;2008;0;197;0;"02"
"0223";5219;3982;3813;152;150;1100;0;0;0;1070;1155;186;0;"02"
