"NUCAN";"CODE";"INSCRITS";"VOTANTS";"EXPRIMÉS";"PC";"EXG";"SOC";"RDG";"DVG";"UDF";"RPR";"DVD";"FN";"ECO";"CodeDpt";"CodeCanton";"IDCanton"
"100000000020";7852;8207;5055;4861;0;0;0;0;1477;0;0;3384;0;0;"01";"02";"0102"
"100000000030";7852;9109;5612;5501;2543;0;0;0;0;0;2958;0;0;0;"01";"03";"0103"
"100000000100";7852;9532;6508;6190;0;0;3823;0;0;0;0;0;2367;0;"01";"10";"0110"
"100000000200";7852;8006;5259;5000;0;0;0;2175;0;2820;0;0;5;0;"01";"20";"0120"
"100000000220";7852;6110;3316;3210;0;0;925;0;0;0;2285;0;0;0;"01";"22";"0122"
"100000000270";7852;6333;3957;3640;0;0;0;0;0;0;1938;1702;0;0;"01";"27";"0127"
"100000000310";7852;3612;2223;2149;0;0;1255;0;0;894;0;0;0;0;"01";"31";"0131"
"100000000340";7852;7671;4812;4656;0;0;2150;0;0;0;2506;0;0;0;"01";"34";"0134"
"100000000350";7852;4325;3161;3080;0;0;0;0;1413;0;1667;0;0;0;"01";"35";"0135"
"100000000360";7852;2760;1906;1874;1022;0;0;0;0;0;852;0;0;0;"01";"36";"0136"
"100000000400";7852;9434;5619;5317;0;0;2290;0;0;0;0;3027;0;0;"01";"40";"0140"
"100000000430";7852;8074;5337;5220;0;0;0;0;2640;0;2580;0;0;0;"01";"43";"0143"
"200000000030";7852;11146;9269;8900;4564;0;0;0;0;4336;0;0;0;0;"02";"03";"0203"
"200000000080";7852;17452;11669;11317;2456;0;0;0;3493;5368;0;0;0;0;"02";"08";"0208"
"200000000090";7852;16742;10727;10146;3785;0;0;0;0;6361;0;0;0;0;"02";"09";"0209"
"200000000120";7852;3822;3078;2996;0;0;1650;0;0;0;1346;0;0;0;"02";"12";"0212"
"200000000150";7852;5931;4566;4371;2198;0;0;0;0;0;0;2173;0;0;"02";"15";"0215"
"200000000180";7852;9857;6726;6436;0;0;3163;0;0;0;3273;0;0;0;"02";"18";"0218"
"200000000190";7852;5642;4685;4508;0;0;2369;0;0;0;0;2139;0;0;"02";"19";"0219"
"200000000210";7852;5699;4277;4203;0;0;1958;0;0;0;2245;0;0;0;"02";"21";"0221"
"200000000230";7852;5218;4093;3938;0;0;1597;0;0;0;2341;0;0;0;"02";"23";"0223"
"200000000250";7852;6559;5297;5118;0;0;2290;0;0;2828;0;0;0;0;"02";"25";"0225"
"200000000280";7852;13985;9168;8651;3612;0;0;0;0;0;0;5039;0;0;"02";"28";"0228"
"200000000320";7852;6228;4724;4573;0;0;2876;0;0;0;0;1697;0;0;"02";"32";"0232"
"200000000330";7852;6477;5148;4910;2090;0;0;0;0;0;2820;0;0;0;"02";"33";"0233"
"200000000340";7852;6248;5268;5157;0;0;2788;0;0;0;0;2369;0;0;"02";"34";"0234"
"200000000390";7852;16605;11167;10534;0;0;4879;0;0;0;5655;0;0;0;"02";"39";"0239"
"300000000020";7852;5415;4444;4321;1998;0;0;0;0;0;0;2323;0;0;"03";"02";"0302"
"300000000030";7852;4231;3100;2960;1172;0;0;0;0;1788;0;0;0;0;"03";"03";"0303"
"300000000060";7852;9493;6641;6274;3135;0;0;0;0;0;3139;0;0;0;"03";"06";"0306"
"300000000070";7852;7316;5590;5485;0;0;3060;0;0;2425;0;0;0;0;"03";"07";"0307"
"300000000100";7852;13176;9379;9059;0;0;0;4427;0;0;4632;0;0;0;"03";"10";"0310"
"300000000120";7852;7557;6125;5927;2734;0;0;0;0;0;0;3193;0;0;"03";"12";"0312"
"300000000140";7852;4201;3423;3363;0;0;1871;0;0;1492;0;0;0;0;"03";"14";"0314"
"300000000180";7852;4474;3206;3138;0;0;0;0;0;0;0;3138;0;0;"03";"18";"0318"
"300000000210";7852;11303;7248;6772;3313;0;0;0;0;0;0;3459;0;0;"03";"21";"0321"
"300000000270";7852;5137;3853;3745;1695;0;0;0;0;2050;0;0;0;0;"03";"27";"0327"
"300000000330";7852;11953;8355;8071;0;0;4253;0;0;0;0;3818;0;0;"03";"33";"0333"
"300000000340";7852;8789;5882;5454;3343;0;0;0;0;2111;0;0;0;0;"03";"34";"0334"
"300000000350";7852;9424;6879;6467;3101;0;0;0;0;3366;0;0;0;0;"03";"35";"0335"
"400000000030";7852;2016;1629;1577;0;0;685;0;321;571;0;0;0;0;"04";"03";"0403"
"400000000040";7852;4035;2839;2774;0;0;722;0;0;843;0;1209;0;0;"04";"04";"0404"
"400000000050";7852;865;775;754;419;0;0;0;0;0;0;335;0;0;"04";"05";"0405"
"400000000060";7852;1502;1206;1177;0;0;584;0;0;0;0;593;0;0;"04";"06";"0406"
"400000000130";7852;7537;5589;5382;0;0;0;2871;0;0;2511;0;0;0;"04";"13";"0413"
"400000000150";7852;1130;914;891;482;0;0;0;0;0;409;0;0;0;"04";"15";"0415"
"400000000200";7852;2276;1748;1681;807;0;0;0;0;874;0;0;0;0;"04";"20";"0420"
"400000000220";7852;1116;965;947;0;0;0;0;449;498;0;0;0;0;"04";"22";"0422"
"400000000290";7852;3214;2744;2670;0;0;1310;0;0;1360;0;0;0;0;"04";"29";"0429"
"400000000300";7852;7137;5785;5549;0;0;2767;0;0;0;2782;0;0;0;"04";"30";"0430"
"400000000320";7852;4743;3614;3431;1933;0;0;0;0;1498;0;0;0;0;"04";"32";"0432"
"500000000020";7852;3737;2823;2630;0;0;0;0;0;1490;0;1140;0;0;"05";"02";"0502"
"500000000050";7852;2138;1872;1814;0;0;837;0;0;977;0;0;0;0;"05";"05";"0505"
"500000000060";7852;2836;1914;1811;0;0;648;0;0;0;1163;0;0;0;"05";"06";"0506"
"500000000070";7852;2595;2122;2074;0;0;0;1178;0;896;0;0;0;0;"05";"07";"0507"
"500000000130";7852;2422;1891;1842;0;0;1007;0;0;835;0;0;0;0;"05";"13";"0513"
"500000000180";7852;4926;3817;3691;0;0;1801;0;0;0;1890;0;0;0;"05";"18";"0518"
"500000000220";7852;1921;1643;1604;0;0;811;0;0;793;0;0;0;0;"05";"22";"0522"
"600000000080";7852;1535;1270;1243;0;0;621;0;0;0;0;622;0;0;"06";"08";"0608"
"600000000090";7852;5695;4435;4243;2186;0;0;0;0;0;0;2057;0;0;"06";"09";"0609"
"600000000100";7852;12419;8584;8135;3060;0;0;0;0;5075;0;0;0;0;"06";"10";"0610"
"600000000120";7852;9055;7113;6816;1944;0;0;0;0;0;0;3943;929;0;"06";"12";"0612"
"600000000160";7852;20227;12155;11654;0;0;4756;0;0;6898;0;0;0;0;"06";"16";"0616"
"600000000180";7852;2398;1972;1857;1007;0;850;0;0;0;0;0;0;0;"06";"18";"0618"
"600000000230";7852;1549;1078;720;0;0;0;0;0;0;0;720;0;0;"06";"23";"0623"
"600000000250";7852;8523;5248;4576;0;0;0;0;0;3328;0;0;1248;0;"06";"25";"0625"
"600000000270";7852;2169;1736;1656;0;0;737;0;0;919;0;0;0;0;"06";"27";"0627"
"600000000290";7852;2170;1710;1622;585;0;0;0;0;0;0;1037;0;0;"06";"29";"0629"
"600000000300";7852;16634;10413;9543;0;0;0;0;0;0;4776;2917;1850;0;"06";"30";"0630"
"600000000350";7852;20214;12294;10432;0;0;0;0;0;0;0;6732;3700;0;"06";"35";"0635"
"600000000360";7852;19196;11754;10203;0;0;0;0;0;5791;0;0;4412;0;"06";"36";"0636"
"600000000380";7852;16705;9793;9473;0;0;2528;0;0;0;0;6945;0;0;"06";"38";"0638"
"600000000410";7852;19330;11343;11098;0;0;3649;0;0;5767;0;0;1682;0;"06";"41";"0641"
"600000000420";7852;13139;8269;7932;2890;0;0;0;0;0;0;5042;0;0;"06";"42";"0642"
"600000000440";7852;15864;9266;9041;0;0;2951;0;0;3712;0;0;2378;0;"06";"44";"0644"
"600000000470";7852;17660;9837;9001;0;0;0;0;0;5971;0;0;3030;0;"06";"47";"0647"
"600000000480";7852;14475;8671;8195;0;0;0;0;0;0;0;5219;2976;0;"06";"48";"0648"
"600000000490";7852;20782;12069;10705;0;0;0;0;0;0;6193;0;4512;0;"06";"49";"0649"
"600000000500";7852;6452;4582;4409;0;0;2596;0;0;1222;0;0;591;0;"06";"50";"0650"
"600000000510";7852;13504;7573;6414;0;0;0;0;0;4532;0;0;1882;0;"06";"51";"0651"
"700000000010";7852;11440;7215;6987;0;0;2814;0;0;4173;0;0;0;0;"07";"01";"0701"
"700000000020";7852;2591;2031;1933;0;0;1035;0;0;0;0;898;0;0;"07";"02";"0702"
"700000000090";7852;6269;4720;4586;0;0;2100;0;0;0;0;2486;0;0;"07";"09";"0709"
"700000000120";7852;2058;1708;1653;0;0;0;0;793;0;860;0;0;0;"07";"12";"0712"
"700000000200";7852;3084;2539;2415;0;0;1181;0;0;0;1234;0;0;0;"07";"20";"0720"
"700000000270";7852;6292;4563;4429;1985;0;0;0;0;0;0;2444;0;0;"07";"27";"0727"
"700000000300";7852;9132;6888;6651;0;0;3130;0;0;0;0;3521;0;0;"07";"30";"0730"
"700000000310";7852;8866;6466;6178;0;0;3423;0;0;2755;0;0;0;0;"07";"31";"0731"
"800000000100";7852;4835;3806;3658;0;0;1823;0;0;0;1835;0;0;0;"08";"10";"0810"
"800000000160";7852;9471;6548;6293;3613;0;0;0;0;0;2680;0;0;0;"08";"16";"0816"
"800000000170";7852;2272;1684;1580;0;0;350;0;0;759;0;471;0;0;"08";"17";"0817"
"800000000200";7852;1585;913;730;0;0;0;0;0;730;0;0;0;0;"08";"20";"0820"
